,Descripcion,Mililitros,Precio,Descuento,PrecioConDescuento,NombreJumbo,Nombre2,Descripcion2,Mililitros2,Precio2,Descuento2,PrecioConDescuento2,archivo1,archivo2
794,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,235.0,65.0
795,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,235.0,70.0
796,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,235.0,71.0
797,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,235.0,74.0
798,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,235.0,82.0
799,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,235.0,121.0
800,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,235.0,123.0
801,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,235.0,124.0
802,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,NECTAR,Aguardiente club s/azucar NECTAR 750 Mililitro,750 Mililitro,$ 32.600,-15 %,$ 27.710,235.0,160.0
803,Aguardiente Nectar rojo sin azucar 250 ml,ml,$ 10.390,,$ 107.992,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,235.0,189.0
804,Ron Añejo Santafe x 750ml,750ml,$ 41.790,,$ 107.992,SANTAFE,BACARDI,RON ANEJO BACARDI 750 ml,750 ml,$ 47.500,-15 %,$ 40.375,237.0,134.0
805,Ron Añejo Santafe x 750ml,750ml,$ 41.790,,$ 107.992,SANTAFE,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,237.0,179.0
806,Aguardiente Chorrito Ardiente sin azucar limón x500ml,x500ml,$ 12.990,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,238.0,64.0
807,Aguardiente Chorrito Ardiente sin azucar limón x500ml,x500ml,$ 12.990,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,238.0,65.0
808,Aguardiente Chorrito Ardiente sin azucar limón x500ml,x500ml,$ 12.990,,$ 107.992,CHORRITO,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,238.0,123.0
809,Aguardiente Chorrito Ardiente sin azucar limón x500ml,x500ml,$ 12.990,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,238.0,124.0
810,Aguardiente Chorrito Ardiente sin azucar limón x500ml,x500ml,$ 12.990,,$ 107.992,CHORRITO,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,238.0,189.0
811,Aguardiente chorrito ardiente sin azucar x500ml,x500ml,$ 12.690,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,239.0,64.0
812,Aguardiente chorrito ardiente sin azucar x500ml,x500ml,$ 12.690,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,239.0,82.0
813,Aguardiente chorrito ardiente sin azucar x500ml,x500ml,$ 12.690,,$ 107.992,CHORRITO,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,239.0,123.0
814,Aguardiente chorrito ardiente sin azucar x500ml,x500ml,$ 12.690,,$ 107.992,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,239.0,124.0
815,Aguardiente chorrito ardiente sin azucar x500ml,x500ml,$ 12.690,,$ 107.992,CHORRITO,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,239.0,189.0
816,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,240.0,40.0
817,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,240.0,70.0
818,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,240.0,74.0
819,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,240.0,123.0
820,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,240.0,128.0
821,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,240.0,235.0
822,Aguardiente Artesanal desquite x750ml,x750ml,$ 64.990,,$ 107.992,DESQUITE,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,240.0,241.0
823,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,241.0,40.0
824,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,241.0,70.0
825,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,241.0,74.0
826,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,241.0,123.0
827,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,241.0,128.0
828,Aguardiente cristal tradicional x750 ml,ml,$ 31.990,- 10 %,$ 28.791,CRISTAL,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,241.0,235.0
829,Aguardiente Chorrito Ardiente sin azucar limón x1000ml,x1000ml,$ 23.990,,$ 28.791,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,242.0,64.0
830,Aguardiente Chorrito Ardiente sin azucar limón x1000ml,x1000ml,$ 23.990,,$ 28.791,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,242.0,82.0
831,Aguardiente Chorrito Ardiente sin azucar limón x1000ml,x1000ml,$ 23.990,,$ 28.791,CHORRITO,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,242.0,123.0
832,Aguardiente Chorrito Ardiente sin azucar limón x1000ml,x1000ml,$ 23.990,,$ 28.791,CHORRITO,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,242.0,124.0
833,Aguardiente Chorrito Ardiente sin azucar limón x1000ml,x1000ml,$ 23.990,,$ 28.791,CHORRITO,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,242.0,189.0
834,Ron Márquez 8 años botella x750 ml,ml,$ 81.990,- 10 %,$ 73.791,MARQUES,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,243.0,141.0
835,Ron Márquez 8 años botella x750 ml,ml,$ 81.990,- 10 %,$ 73.791,MARQUES,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,243.0,179.0
836,Aguardiente cristal s bot.x375ml,bot.x375ml,$ 16.590,,$ 73.791,CRISTAL,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,244.0,74.0
837,Aguardiente cristal s bot.x375ml,bot.x375ml,$ 16.590,,$ 73.791,CRISTAL,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,244.0,123.0
838,Aguardiente cristal s bot.x375ml,bot.x375ml,$ 16.590,,$ 73.791,CRISTAL,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,244.0,189.0
839,Aguardiente cristal s bot.x375ml,bot.x375ml,$ 16.590,,$ 73.791,CRISTAL,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,244.0,191.0
840,Aguardiente cristal s bot.x375ml,bot.x375ml,$ 16.590,,$ 73.791,CRISTAL,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,244.0,235.0
841,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 375 Mililitro,375 Mililitro,$ 23.700,0,$ 23.700,245.0,55.0
842,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,245.0,64.0
843,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,245.0,65.0
844,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,245.0,71.0
845,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,245.0,74.0
846,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,245.0,77.0
847,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,245.0,82.0
848,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,245.0,123.0
849,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,245.0,124.0
850,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 750 Mililitro,750 Mililitro,$ 32.600,-15 %,$ 27.710,245.0,160.0
851,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,245.0,189.0
852,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,245.0,191.0
853,Aguardiente Líder sin azúcar x375ml,x375ml,$ 27.990,,$ 73.791,LIDER,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,245.0,235.0
854,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,246.0,64.0
855,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,246.0,65.0
856,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,246.0,70.0
857,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,246.0,71.0
858,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,246.0,74.0
859,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,246.0,82.0
860,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,246.0,123.0
861,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,246.0,124.0
862,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,246.0,189.0
863,Aguardiente Nectar rojo sin azúcar x750ml,x750ml,$ 31.990,,$ 73.791,NECTAR,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,246.0,235.0
864,Ron santafe añejo 4 años x375ml,x375ml,$ 23.190,,$ 73.791,SANTAFE,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,247.0,179.0
865,Ron santafe añejo 4 años x375ml,x375ml,$ 23.190,,$ 73.791,SANTAFE,MEDELLIN,Ron Medellín extra añejo 8 años media x 375 ml,375 ml,$ 38.300,0,$ 38.300,247.0,186.0
866,Ron Añejo Boyacá x750ml,x750ml,$ 48.990,,$ 73.791,BOYACA,BACARDI,RON ANEJO BACARDI 750 ml,750 ml,$ 47.500,-15 %,$ 40.375,248.0,134.0
867,Ron Añejo Boyacá x750ml,x750ml,$ 48.990,,$ 73.791,BOYACA,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,248.0,179.0
868,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,249.0,40.0
869,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,249.0,64.0
870,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,249.0,65.0
871,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,249.0,71.0
872,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,249.0,74.0
873,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,249.0,77.0
874,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,249.0,82.0
875,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,249.0,121.0
876,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,249.0,123.0
877,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,249.0,124.0
878,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 750 Mililitro,750 Mililitro,$ 32.600,-15 %,$ 27.710,249.0,160.0
879,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,249.0,189.0
880,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,249.0,191.0
881,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,249.0,235.0
882,Aguardiente Líder sin azúcar x750ml,x750ml,$ 48.990,,$ 73.791,LIDER,NECTAR,Aguardiente botella NECTAR 750 Mililitro,750 Mililitro,$ 33.400,-15 %,$ 28.390,249.0,241.0
883,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,AGUARDIENTE AMARILLO,AGUARDIENTE AMARILLO MANZANARE 750 ml,750 ml,$ 43.800,-15 %,$ 37.230,250.0,70.0
884,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,250.0,74.0
885,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,250.0,123.0
886,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,ANTIOQUENO,Aguardiente botella ANTIOQUENO 750 ml,750 ml,$ 45.500,0,$ 45.500,250.0,128.0
887,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,250.0,189.0
888,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,NECTAR,Aguardiente media NECTAR 375 Mililitro,375 Mililitro,$ 17.600,-15 %,$ 14.960,250.0,191.0
889,Aguardiente Onix x 375ml,375ml,$ 27.990,- 10 %,$ 25.191,ONIX,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,250.0,235.0
890,Ron Botran Añejo 12 Solera Botella x750ml,x750ml,$ 165.190,- 10 %,$ 148.671,BOTRAN,MEDELLIN,Ron medellín dorado botella x 750 ml,750 ml,$ 46.100,0,$ 46.100,251.0,141.0
891,Ron Botran Añejo 12 Solera Botella x750ml,x750ml,$ 165.190,- 10 %,$ 148.671,BOTRAN,MEDELLIN,Ron Medellín añejo 3 años botella x 750 ml,750 ml,$ 44.900,0,$ 44.900,251.0,179.0
892,Ron Botran Añejo 12 Solera Botella x750ml,x750ml,$ 165.190,- 10 %,$ 148.671,BOTRAN,BARCELO,Ron Dominicano Barcelo Imperial Botella x 700ml,x 700ml,$ 149.900,-15 %,$ 127.415,251.0,215.0
893,Aguardiente Cristal Verde tetra x1000ml,x1000ml,$ 32.990,,$ 44.091,CRISTAL,BLANCO,Aguardiente fiesta 24 x 750 ml,750 ml,$ 35.900,-15 %,$ 30.515,253.0,74.0
894,Aguardiente Cristal Verde tetra x1000ml,x1000ml,$ 32.990,,$ 44.091,CRISTAL,BLANCO,Aguardiente fiesta 24 x 375 ml,375 ml,$ 19.300,-15 %,$ 16.405,253.0,235.0
895,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,254.0,40.0
896,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,254.0,64.0
897,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,254.0,65.0
898,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,254.0,71.0
899,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,254.0,77.0
900,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,254.0,82.0
901,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,254.0,121.0
902,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,BLANCO,Aguardiente sin azucar blanco x 750 ml,750 ml,$ 35.300,-15 %,$ 30.005,254.0,123.0
903,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,ANTIOQUENO,Aguardiente antioqueño sin azúcar garrafa x 2000 ml,2000 ml,$ 115.200,0,$ 115.200,254.0,124.0
904,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,NECTAR,Aguardiente club s/azucar NECTAR 750 Mililitro,750 Mililitro,$ 32.600,-15 %,$ 27.710,254.0,160.0
905,Aguardiente Líder Sin Azúcar Botella x1500ml,x1500ml,$ 91.990,,$ 44.091,LIDER,BLANCO,AGUARDIENTE SIN AZUCAR BLANCO 375 ml,375 ml,$ 19.100,-15 %,$ 16.235,254.0,189.0
906,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,ANTIOQUENO,AGUARDIENTE S/AZUCAR ANTIOQUENO 1050 ml,1050 ml,$ 58.300,0,$ 58.300,255.0,40.0
907,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,ANTIOQUENO,Aguardiente antioqueño sin azúcar litro x 1000 ml,1000 ml,$ 58.000,0,$ 58.000,255.0,64.0
908,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados botella x 750 ml,750 ml,$ 38.900,0,$ 38.900,255.0,65.0
909,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados media x 375 ml,375 ml,$ 19.800,0,$ 19.800,255.0,71.0
910,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,NECTAR,Aguardiente club s/azucar NECTAR 375 Mililitro,375 Mililitro,$ 16.000,-15 %,$ 13.600,255.0,77.0
911,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,ANTIOQUENO,Aguardiente antioqueño sin azúcar 24 grados tetra x 1050 ml,1050 ml,$ 42.900,0,$ 42.900,255.0,82.0
912,Aguardiente blanco sin azucar garrafa x1750ml,x1750ml,$ 88.590,- 10 %,$ 79.731,BLANCO DEL VALLE,NECTAR,Aguardiente club s/azucar NECTAR 250 Mililitro,250 Mililitro,$ 10.700,-15 %,$ 9.095,255.0,121.0
